Fecha,Precio_EUR_MWh,Año
2018-03-30,18.43,2018
2018-03-31,18.99,2018
2018-04-01,22.43,2018
2018-04-02,22.97,2018
2018-04-03,21.25,2018
2018-04-04,20.33,2018
2018-04-05,20.82,2018
2018-04-06,21.7,2018
2018-04-07,20.66,2018
2018-04-08,20.19,2018
2018-04-09,21.47,2018
2018-04-10,21.4,2018
2018-04-11,23.29,2018
2018-04-12,23.14,2018
2018-04-13,23.26,2018
2018-04-14,22.18,2018
2018-04-15,23.25,2018
2018-04-16,23.17,2018
2018-04-17,21.62,2018
2018-04-18,20.95,2018
2018-04-19,19.85,2018
2018-04-20,19.93,2018
2018-04-21,19.75,2018
2018-04-22,20.0,2018
2018-04-23,20.45,2018
2018-04-24,20.15,2018
2018-04-25,20.15,2018
2018-04-26,20.02,2018
2018-04-27,20.08,2018
2018-04-28,20.06,2018
2018-04-29,20.13,2018
2018-04-30,20.09,2018
2018-05-01,20.79,2018
2018-05-02,20.72,2018
2018-05-03,20.73,2018
2018-05-04,20.67,2018
2018-05-05,20.46,2018
2018-05-06,20.44,2018
2018-05-07,20.9,2018
2018-05-08,21.84,2018
2018-05-09,21.49,2018
2018-05-10,21.68,2018
2018-05-11,21.42,2018
2018-05-12,21.34,2018
2018-05-13,21.51,2018
2018-05-14,22.42,2018
2018-05-15,22.52,2018
2018-05-16,22.83,2018
2018-05-17,22.53,2018
2018-05-18,22.79,2018
2018-05-19,22.71,2018
2018-05-20,23.14,2018
2018-05-21,24.99,2018
2018-05-22,23.48,2018
2018-05-23,24.55,2018
2018-05-24,24.87,2018
2018-05-25,24.41,2018
2018-05-26,22.89,2018
2018-05-27,22.54,2018
2018-05-28,22.59,2018
2018-05-29,22.65,2018
2018-05-30,23.13,2018
2018-05-31,24.31,2018
2018-06-01,24.08,2018
2018-06-02,22.21,2018
2018-06-03,21.92,2018
2018-06-04,21.82,2018
2018-06-05,22.44,2018
2018-06-06,22.57,2018
2018-06-07,22.52,2018
2018-06-08,22.76,2018
2018-06-09,22.58,2018
2018-06-10,22.31,2018
2018-06-11,22.77,2018
2018-06-12,22.5,2018
2018-06-13,22.81,2018
2018-06-14,23.58,2018
2018-06-15,24.97,2018
2018-06-16,23.52,2018
2018-06-17,23.55,2018
2018-06-18,23.93,2018
2018-06-19,23.83,2018
2018-06-20,23.72,2018
2018-06-21,23.22,2018
2018-06-22,22.68,2018
2018-06-23,22.38,2018
2018-06-24,22.26,2018
2018-06-25,22.39,2018
2018-06-26,22.84,2018
2018-06-27,23.66,2018
2018-06-28,24.08,2018
2018-06-29,23.85,2018
2018-06-30,22.71,2018
2018-07-01,24.88,2018
2018-07-02,25.1,2018
2018-07-03,25.36,2018
2018-07-04,24.73,2018
2018-07-05,24.55,2018
2018-07-06,25.74,2018
2018-07-07,24.24,2018
2018-07-08,24.4,2018
2018-07-09,27.0,2018
2018-07-10,25.31,2018
2018-07-11,25.84,2018
2018-07-12,25.77,2018
2018-07-13,25.48,2018
2018-07-14,24.67,2018
2018-07-15,25.91,2018
2018-07-16,26.25,2018
2018-07-17,25.11,2018
2018-07-18,25.2,2018
2018-07-19,25.14,2018
2018-07-20,25.34,2018
2018-07-21,25.12,2018
2018-07-22,25.2,2018
2018-07-23,25.0,2018
2018-07-24,25.28,2018
2018-07-25,25.27,2018
2018-07-26,25.48,2018
2018-07-27,25.46,2018
2018-07-28,25.3,2018
2018-07-29,25.1,2018
2018-07-30,25.5,2018
2018-07-31,26.06,2018
2018-08-01,26.06,2018
2018-08-02,25.34,2018
2018-08-03,25.34,2018
2018-08-04,25.59,2018
2018-08-05,25.13,2018
2018-08-06,26.71,2018
2018-08-07,26.64,2018
2018-08-08,26.28,2018
2018-08-09,26.08,2018
2018-08-10,25.11,2018
2018-08-11,24.06,2018
2018-08-12,25.43,2018
2018-08-13,26.1,2018
2018-08-14,25.91,2018
2018-08-15,25.23,2018
2018-08-16,25.53,2018
2018-08-17,26.12,2018
2018-08-18,25.68,2018
2018-08-19,25.62,2018
2018-08-20,26.54,2018
2018-08-21,25.71,2018
2018-08-22,26.35,2018
2018-08-23,27.3,2018
2018-08-24,27.42,2018
2018-08-25,27.35,2018
2018-08-26,26.95,2018
2018-08-27,28.07,2018
2018-08-28,28.16,2018
2018-08-29,28.31,2018
2018-08-30,28.7,2018
2018-08-31,28.99,2018
2018-09-01,28.75,2018
2018-09-02,28.75,2018
2018-09-03,29.56,2018
2018-09-04,29.61,2018
2018-09-05,29.45,2018
2018-09-06,29.6,2018
2018-09-07,29.64,2018
2018-09-08,29.45,2018
2018-09-09,30.84,2018
2018-09-10,29.71,2018
2018-09-11,29.61,2018
2018-09-12,29.17,2018
2018-09-13,29.11,2018
2018-09-14,28.88,2018
2018-09-15,27.97,2018
2018-09-16,27.94,2018
2018-09-17,28.53,2018
2018-09-18,28.78,2018
2018-09-19,29.3,2018
2018-09-20,29.5,2018
2018-09-21,29.72,2018
2018-09-22,28.77,2018
2018-09-23,28.53,2018
2018-09-24,29.08,2018
2018-09-25,29.58,2018
2018-09-26,29.51,2018
2018-09-27,29.14,2018
2018-09-28,28.78,2018
